id,id_productor,familiar_modif,sexo,edad,trabajo_modif,estudio_modif,ayuda_modif,migracion_modif,ganado_modif,created_at,updated_at,est_i
663,218,HIJO(A),HOMBRE,17,CAMPESINO,NO ESTUDIA,SI,NO,NO POSEE GANADO,05/07/2018 12:09,8/21/2017 2:15,1
664,191,MADRE,MUJER,60,TRABAJA EN TIENDA,PRIMARIA,0,NO,AVES DE CORRAL Y BOVINOS,05/07/2018 12:09,8/21/2017 2:17,1
665,218,HIJO(A),HOMBRE,12,NO TRABAJA,PRIMARIA,NO,NO,NO POSEE GANADO,05/07/2018 12:09,8/21/2017 2:17,1
666,191,HIJO(A),HOMBRE,42,OTROS,SECUNDARIA,NO,SI,NO POSEE GANADO,05/07/2018 12:09,8/21/2017 2:18,1
667,191,HIJO(A),HOMBRE,39,OTROS,SECUNDARIA,NO,SI,NO POSEE GANADO,05/07/2018 12:09,8/21/2017 2:19,1
668,225,INDEFINIDO,HOMBRE,33,CAMPESINO,NO ESTUDIA,SI,NO,NO POSEE GANADO,05/07/2018 12:09,8/21/2017 3:32,1
669,225,INDEFINIDO,MUJER,25,NO TRABAJA,SECUNDARIA,NO,NO,AVES DE CORRAL Y BOVINOS,05/07/2018 12:09,8/21/2017 3:35,1
670,225,HIJO(A),HOMBRE,9,NO TRABAJA,PRIMARIA,NO,NO,NO POSEE GANADO,05/07/2018 12:09,8/21/2017 3:36,1
671,226,PADRE,HOMBRE,52,JORNALERO,NO ESTUDIA,SI,NO,OVINOS-CAPRINOS Y EQUINOS,05/07/2018 12:09,8/26/2017 19:53,1
672,226,MADRE,MUJER,49,AMA DE CASA,NO ESTUDIA,SI,NO,OVINOS-CAPRINOS Y EQUINOS,05/07/2018 12:09,8/26/2017 19:55,1
673,226,HIJO(A),MUJER,31,TRABAJA EN TIENDA,BACHILLERATO,NO,NO,NO POSEE GANADO,05/07/2018 12:09,8/26/2017 19:58,1
674,226,HIJO(A),HOMBRE,20,ESTUDIANTE,UNIVERSIDAD,SI,NO,NO POSEE GANADO,05/07/2018 12:09,8/26/2017 20:00,1
675,227,PADRE,HOMBRE,52,OTROS,NO ESTUDIA,AVECES,SI,BOVINOS Y PORCINOS,05/07/2018 12:09,8/26/2017 21:35,1
676,227,MADRE,MUJER,48,AMA DE CASA,NO ESTUDIA,SI,SI,BOVINOS Y PORCINOS,05/07/2018 12:09,8/26/2017 21:37,1
677,227,HIJO(A),HOMBRE,26,CAMPESINO,BACHILLERATO,SI,SI,NO POSEE GANADO,05/07/2018 12:09,8/26/2017 21:39,1
678,227,HIJO(A),HOMBRE,9,NO TRABAJA,PRIMARIA,NO,NO,NO POSEE GANADO,05/07/2018 12:09,8/26/2017 21:41,1
679,228,PADRE,HOMBRE,63,CAMPESINO,NO ESTUDIA,SI,NO,NO POSEE GANADO,05/07/2018 12:09,8/26/2017 23:51,1
680,228,MADRE,MUJER,56,CAMPESINO,NO ESTUDIA,SI,NO,BOVINOS Y PORCINOS,05/07/2018 12:09,8/26/2017 23:53,1
681,228,MADRE,MUJER,83,NO TRABAJA,NO ESTUDIA,NO,NO,NO POSEE GANADO,05/07/2018 12:09,8/26/2017 23:55,1
687,183,PADRE,HOMBRE,47,OTROS,SECUNDARIA,0,SI,AVES DE CORRAL Y PORCINOS,05/07/2018 12:09,8/27/2017 19:18,1
