id,id_productor,compra_venta,articulos,TIPO ARTICULO,nombre_esp,nombre_len,lugar_obtencion,lugar_modif,frecuencia,frecuencia_modif,comentarios,created_at,updated_at,Freq_anual
1360,130,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,SOPAS,,tienda ,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 2 SEMANAS ,2 VECES AL MES,3 SOPAS DIFERENTES ,03/05/2018 15:27,04/08/2017 04:54,0.06575
1361,131,COMPRA,PLANTAS Y FRUTOS,Non,CILANTRO,KOLANTOJ  ,milpa ,EN LA MILPA,CADA 2 SEMANAS ,2 VECES AL MES,1 ROLLO ,03/05/2018 15:27,09/08/2017 20:11,0.06575
1372,131,COMPRA,BEBIDAS ,Non,LECHE,,tienda ,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 2 SEMANAS ,2 VECES AL MES,4 LITROS DE LECHE,03/05/2018 15:27,09/08/2017 20:31,0.06575
1397,133,COMPRA,ALIMENTOS PREPARADOS ,Non,ZACAHUIL ,ZAKAHUILIJ  ,,,CADA 15 DIAS O HASTA 2 MESES ,2 VECES AL MES,2 PLATOS  DE ZACAHUIL,03/05/2018 14:42,09/08/2017 23:58,0.06575
1398,133,COMPRA,ALIMENTOS PREPARADOS ,Non,ZACAHUIL ,ZAKAHUILIJ  ,,,CADA 15 DIAS O HASTA 2 MESES ,2 VECES AL MES,2 PLATOS  DE ZACAHUIL,03/05/2018 14:42,09/08/2017 23:58,0.06575
1417,134,COMPRA,BEBIDAS ,Non,LECHE,,tienda ,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 2 SEMANAS ,2 VECES AL MES,4 LITROS DE LECHE ,03/05/2018 15:27,10/08/2017 02:11,0.06575
1419,134,COMPRA,CARNE,Non,CARNE DE RES,HUAKASHNAKATL,tianguis,EN EL MERCADO O TIANGUIS,CADA 15 DÍAS,2 VECES AL MES,1 KILO ½,03/05/2018 15:27,10/08/2017 02:14,0.06575
1430,135,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,SOPAS,,,,CADA 2 SEMANAS ,2 VECES AL MES,,03/05/2018 14:42,10/08/2017 17:00,0.06575
1435,135,COMPRA,CARNE,Non,CARNE DE PUERCO ,PITSONAKATL ,tianguis ,EN EL MERCADO O TIANGUIS,CADA 15 DÍAS ,2 VECES AL MES, 1 KILO,03/05/2018 15:27,10/08/2017 17:04,0.06575
1437,136,COMPRA,PLANTAS Y FRUTOS,Non,HIERBABUENA, ALUENOJ   ,MILPA,EN LA MILPA,CADA 2 SEMANAS ,2 VECES AL MES,1 ROLLO,03/05/2018 15:27,10/08/2017 17:59,0.06575
1443,136,COMPRA,BEBIDAS ,Non,LECHE,,tienda ,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 2 SEMANAS ,2 VECES AL MES,5 LITROS DE LECHE ,03/05/2018 15:27,10/08/2017 18:06,0.06575
1451,137,COMPRA,PLANTAS Y FRUTOS,Non,CILANTRO,KOLANTOJ ,milpa,EN LA MILPA,CADA 2 SEMANAS ,2 VECES AL MES,POR ROLLO ,03/05/2018 15:27,10/08/2017 20:20,0.06575
1463,138,COMPRA,PLANTAS Y FRUTOS,Non,EPAZOTE ,APAZOTL,traspatio,EN EL TRASPATIO,CADA 2 SEMANAS ,2 VECES AL MES,POR ROLLO ,03/05/2018 15:27,11/08/2017 01:34,0.06575
2015,166,COMPRA,SEMILLAS ,Non,ARROZ,,de la tienda de la comunidad,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 15 DIAS,2 VECES AL MES,,03/05/2018 15:27,24/07/2017 18:24,0.06575
2018,167,COMPRA,ALIMENTOS PREPARADOS ,Non,ZACAHUIL ,SAKAUILI,EN CASA ,EN EL TRASPATIO,CADA 15 DIAS ,2 VECES AL MES,"ES ELABORADO EN LA CASA DE QUEIN LO LLEVA A VENDER AL TIANGUIS, ES UN TAMAL CON CARNE ",03/05/2018 15:27,24/07/2017 19:22,0.06575
2022,167,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,CHILES EN VINAGRE ,,DE LA TIENDA DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 15 DIAS,2 VECES AL MES,,03/05/2018 15:27,24/07/2017 19:27,0.06575
2023,168,COMPRA,CARNE,Non,CARNE DE POLLO ,PIYONAKATL,EN EL TIANGUIS ,EN EL TIANGUIS ,CADA 15 DIAS,2 VECES AL MES,,03/05/2018 15:27,24/07/2017 20:21,0.06575
2027,169,COMPRA,CARNE,Non,CARNE DE POLLO ,PIYONAKATL,TIANGUIS ,EN EL MERCADO O TIANGUIS,CADA 15 DIAS,2 VECES AL MES,,03/05/2018 15:27,24/07/2017 21:00,0.06575
2030,169,COMPRA,ALIMENTOS INDUSTRIALIZADOS,Non,ATÚN ,,TIENDA DE LA COMUNIDAD,EN TIENDAS DEL PUEBLO O LA COMUNIDAD,CADA 15 DIAS,2 VECES AL MES,,03/05/2018 15:27,24/07/2017 21:03,0.06575
2031,170,COMPRA,PLANTAS Y FRUTOS,Non,HIERBABUENA,ALOJUENO,MILPA  ,EN LA MILPA,CADA 15 DIAS,2 VECES AL MES,,03/05/2018 15:27,25/07/2017 03:45,0.06575
2032,170,COMPRA,PLANTAS Y FRUTOS,Non,EPAZOTE ,APASOTL,MILPA  ,EN LA MILPA,CADA 15 DIAS ,2 VECES AL MES,,03/05/2018 15:27,25/07/2017 03:45,0.06575
2034,170,COMPRA,SEMILLAS ,Non,FRIJOL ,CHICHIMEKETL,MILPA  ,EN LA MILPA,CADA 15 DIAS ,2 VECES AL MES,,03/05/2018 15:27,25/07/2017 03:47,0.06575
